episode,episode_reward,best_reward,epsilon
1,51.2000,51.2000,0.995000
2,51.2000,51.2000,0.990025
3,51.2000,51.2000,0.985075
4,51.2000,51.2000,0.980150
5,51.2000,51.2000,0.975249
6,51.2000,51.2000,0.970373
7,51.2000,51.2000,0.965521
8,51.2000,51.2000,0.960693
9,51.2000,51.2000,0.955890
10,51.2000,51.2000,0.951110
11,51.2000,51.2000,0.946355
12,51.2000,51.2000,0.941623
13,51.2000,51.2000,0.936915
14,51.2000,51.2000,0.932230
15,51.2000,51.2000,0.927569
16,51.2000,51.2000,0.922931
17,51.2000,51.2000,0.918316
18,51.2000,51.2000,0.913725
